primary_label,scientific_name,common_name,species_rank,species_total_files,species_train_files,species_test_files,species_total_duration_hrs,species_train_duration_hrs,species_test_duration_hrs,total_files,train_files,test_files,total_duration_hrs,train_duration_hrs,test_duration_hrs,class_weight_file,class_weight_duration,class_weight_combined
thrnig1,Luscinia luscinia,Thrush Nightingale,0,499,349,150,17.078734971025447,10.7390771101033,6.339657860922147,4680,3278,1402,71.68920867976821,49.463143852355756,22.226064827412447,0.9378757515030061,0.4197571354165924,0.6274392710275518
wlwwar,Phylloscopus trochilus,Willow Warbler,1,499,350,149,9.310583182161754,6.733450844041321,2.577132338120433,4680,3278,1402,71.68920867976821,49.463143852355756,22.226064827412447,0.9378757515030061,0.7699754921594851,0.8497889993098134
eaywag1,Motacilla flava,Western Yellow Wagtail,2,498,348,150,4.649309498614261,3.2290259763164526,1.420283522297808,4680,3278,1402,71.68920867976821,49.463143852355756,22.226064827412447,0.9397590361445783,1.5419323815963504,1.203762804180749
comsan,Actitis hypoleucos,Common Sandpiper,3,497,349,148,4.2976835852859665,2.8643293902746283,1.4333541950113378,4680,3278,1402,71.68920867976821,49.463143852355756,22.226064827412447,0.9416498993963782,1.6680895011724794,1.2532981732066875
barswa,Hirundo rustica,Barn Swallow,4,496,347,149,5.308203943058705,3.6323506676744772,1.6758532753842277,4680,3278,1402,71.68920867976821,49.463143852355756,22.226064827412447,0.9435483870967742,1.3505360654711263,1.128847255518347
woosan,Tringa glareola,Wood Sandpiper,5,474,332,142,3.730303275384228,2.7040718568909043,1.0262314184933232,4680,3278,1402,71.68920867976821,49.463143852355756,22.226064827412447,0.9873417721518988,1.9218064427317667,1.3774903915816323
combuz1,Buteo buteo,Common Buzzard,6,473,332,141,6.874920924666163,4.6347554799697654,2.2401654446963972,4680,3278,1402,71.68920867976821,49.463143852355756,22.226064827412447,0.9894291754756871,1.0427641199851232,1.0157466433380475
hoopoe,Upupa epops,Eurasian Hoopoe,7,419,293,126,6.955821819098009,5.174238888888889,1.7815829302091206,4680,3278,1402,71.68920867976821,49.463143852355756,22.226064827412447,1.1169451073985681,1.0306360706787692,1.0729230711719904
eubeat1,Merops apiaster,European Bee-eater,8,417,292,125,7.826682703451751,5.64865428319476,2.1780284202569917,4680,3278,1402,71.68920867976821,49.463143852355756,22.226064827412447,1.1223021582733812,0.9159590518234703,1.0138948765781985
cohmar1,Delichon urbicum,Common House-Martin,9,408,286,122,5.65696477702192,4.10318935500126,1.55377542202066,4680,3278,1402,71.68920867976821,49.463143852355756,22.226064827412447,1.1470588235294117,1.2672733790205535,1.2056687402555721
